実行日時,系統,ケース,構成,要求モデル,解決モデル,試行,LLM呼出数,入力tok,出力tok,確定額,通貨,費用欠測,所要秒(API),所要秒(実測),fallback,結果,備考
2026-09-22T08:15:12,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,1,1,2262,1982,0.004212,USD,0,13.0,15.0,0,期待通り,
2026-09-22T08:15:33,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,2,1,2254,2738,0.005722,USD,0,19.0,21.0,0,期待通り,
2026-09-22T08:15:48,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,3,1,2252,2112,0.004442,USD,0,15.0,15.0,0,期待通り,
2026-09-22T08:16:06,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,4,1,2267,2146,0.004514,USD,0,15.0,18.0,0,期待通り,
2026-09-22T08:16:24,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,5,1,2259,2376,0.004972,USD,0,17.0,18.0,0,期待通り,
2026-09-22T08:16:46,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,6,1,2265,2316,0.004852,USD,0,18.0,21.0,0,期待通り,
2026-09-22T08:17:01,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,7,1,2251,1739,0.003696,USD,0,12.0,15.0,0,期待通り,
2026-09-22T08:17:19,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,8,1,2266,2427,0.005074,USD,0,16.0,18.0,0,期待通り,
2026-09-22T08:17:34,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,9,1,2264,1821,0.003862,USD,0,12.0,15.0,0,期待通り,
2026-09-22T08:17:55,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,10,1,2255,2746,0.005710,USD,0,18.0,21.0,0,期待通り,
2026-09-22T08:18:10,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,11,1,2263,1985,0.004218,USD,0,14.0,15.0,0,期待通り,
2026-09-22T08:18:25,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,12,1,2271,2084,0.004390,USD,0,15.0,15.0,0,期待通り,
2026-09-22T08:18:46,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,13,1,2258,2375,0.004968,USD,0,20.0,21.0,0,期待通り,
2026-09-22T08:19:04,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,14,1,2269,2246,0.004714,USD,0,17.0,18.0,0,期待通り,
2026-09-22T08:19:25,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,15,1,2252,2754,0.005726,USD,0,19.0,21.0,0,期待通り,
2026-09-22T08:19:44,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,16,1,2258,2519,0.005256,USD,0,16.0,18.0,0,期待通り,
2026-09-22T08:20:08,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,17,1,2268,2849,0.005920,USD,0,21.0,24.0,0,期待通り,
2026-09-22T08:20:29,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,18,1,2253,2886,0.005990,USD,0,20.0,21.0,0,期待通り,
2026-09-22T08:20:50,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,19,1,2264,2761,0.005742,USD,0,20.0,21.0,0,期待通り,
2026-09-22T08:21:14,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,20,1,2253,3227,0.006672,USD,0,23.0,24.0,0,期待通り,
2026-09-22T08:21:29,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,21,1,2249,1821,0.003858,USD,0,14.0,15.0,0,期待通り,
2026-09-22T08:21:50,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,22,1,2253,2807,0.005832,USD,0,19.0,21.0,0,期待通り,
2026-09-22T08:22:05,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,23,1,2254,1921,0.004060,USD,0,14.0,15.0,0,期待通り,
2026-09-22T08:22:23,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,24,1,2263,2467,0.005154,USD,0,18.0,18.0,0,期待通り,
2026-09-22T08:22:45,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,25,1,2270,2366,0.004954,USD,0,19.0,21.0,0,期待通り,
2026-09-22T08:23:03,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,26,1,2264,2286,0.004792,USD,0,17.0,18.0,0,期待通り,
2026-09-22T08:23:21,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,27,1,2258,2167,0.004552,USD,0,15.0,18.0,0,期待通り,
2026-09-22T08:23:36,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,28,1,2269,2136,0.004494,USD,0,14.0,15.0,0,期待通り,
2026-09-22T08:23:54,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,29,1,2253,2141,0.004500,USD,0,15.0,18.0,0,期待通り,
2026-09-22T08:24:12,planner,E01,marunage-plan,orcarouter/marunage-plan,openai/gpt-5-mini,30,1,2240,2229,0.004672,USD,0,15.0,18.0,0,期待通り,
