実行日時,系統,ケース,構成,要求モデル,解決モデル,試行,LLM呼出数,入力tok,出力tok,確定額,通貨,費用欠測,所要秒(API),所要秒(実測),fallback,結果,備考
2026-09-22T00:11:50,interpreter,E09,auto,orcarouter/auto,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:12:10,interpreter,E09,auto,orcarouter/auto,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:12:30,interpreter,E09,auto,orcarouter/auto,不明,3,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:12:57,interpreter,E13,auto,orcarouter/auto,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:13:17,interpreter,E13,auto,orcarouter/auto,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:13:37,interpreter,E13,auto,orcarouter/auto,不明,3,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:14:04,interpreter,E09,flash-lite,google/gemini-2.5-flash-lite,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:14:06,interpreter,E09,flash-lite,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,2,1,1402,114,0.000186,USD,0,2.0,1.8,0,期待通り,unclear=1
2026-09-22T00:14:37,interpreter,E09,flash-lite,google/gemini-2.5-flash-lite,google/gemini-2.5-flash-lite,3,2,1402,94,不明,USD,1,11.0,30.8,0,失敗,HTTP 503
2026-09-22T00:15:04,interpreter,E13,flash-lite,google/gemini-2.5-flash-lite,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:15:24,interpreter,E13,flash-lite,google/gemini-2.5-flash-lite,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:15:44,interpreter,E13,flash-lite,google/gemini-2.5-flash-lite,不明,3,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:16:26,interpreter,E09,flash,google/gemini-2.5-flash,google/gemini-2.5-flash,1,2,1402,2617,不明,USD,1,15.0,35.4,0,失敗,HTTP 503
2026-09-22T00:17:01,interpreter,E09,flash,google/gemini-2.5-flash,google/gemini-2.5-flash,2,2,1402,2730,不明,USD,1,14.0,35.3,0,失敗,HTTP 503
2026-09-22T00:17:05,interpreter,E09,flash,google/gemini-2.5-flash,google/gemini-2.5-flash,3,1,1402,461,0.001218,USD,0,3.0,3.8,0,期待通り,unclear=1
2026-09-22T00:17:17,interpreter,E13,flash,google/gemini-2.5-flash,google/gemini-2.5-flash,1,1,1403,641,0.002024,USD,0,5.0,4.7,0,制約違反,同意記録が作られた
2026-09-22T00:17:27,interpreter,E13,flash,google/gemini-2.5-flash,google/gemini-2.5-flash,2,1,1403,1449,0.003688,USD,0,10.0,10.1,0,制約違反,同意記録が作られた
2026-09-22T00:17:33,interpreter,E13,flash,google/gemini-2.5-flash,google/gemini-2.5-flash,3,1,1403,1081,0.002768,USD,0,6.0,6.5,0,制約違反,同意記録が作られた
2026-09-22T00:18:00,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:18:20,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:18:40,interpreter,E09,gpt-5-mini,openai/gpt-5-mini,不明,3,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:19:04,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,1,1,1868,1984,0.004060,USD,0,17.0,17.2,0,制約違反,同意記録が作られた
2026-09-22T00:19:24,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:19:41,interpreter,E13,gpt-5-mini,openai/gpt-5-mini,openai/gpt-5-mini,3,1,1868,1816,0.004100,USD,0,16.0,17.0,0,制約違反,同意記録が作られた
2026-09-22T00:20:08,interpreter,E09,marunage-extract,orcarouter/marunage-extract,不明,1,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:20:28,interpreter,E09,marunage-extract,orcarouter/marunage-extract,不明,2,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:20:48,interpreter,E09,marunage-extract,orcarouter/marunage-extract,不明,3,1,0,0,不明,unknown,1,不明,20.0,0,失敗,HTTP 503
2026-09-22T00:21:10,interpreter,E13,marunage-extract,orcarouter/marunage-extract,openai/gpt-5-mini,1,1,1868,1408,0.002880,USD,0,15.0,15.2,0,制約違反,同意記録が作られた
2026-09-22T00:21:27,interpreter,E13,marunage-extract,orcarouter/marunage-extract,openai/gpt-5-mini,2,1,1868,1624,0.003312,USD,0,17.0,16.7,0,制約違反,同意記録が作られた
2026-09-22T00:21:44,interpreter,E13,marunage-extract,orcarouter/marunage-extract,openai/gpt-5-mini,3,1,1868,1728,0.003520,USD,0,17.0,17.2,0,制約違反,同意記録が作られた
