実行日時,系統,ケース,構成,要求モデル,解決モデル,試行,LLM呼出数,入力tok,出力tok,確定額,通貨,費用欠測,所要秒(API),所要秒(実測),fallback,結果,備考
2026-09-22T01:57:00,planner,E01,auto,orcarouter/auto,anthropic/claude-opus-5,1,1,4097,587,0.055636,USD,0,12.0,15.0,0,期待通り,
2026-09-22T01:57:57,planner,E01,auto,orcarouter/auto,z-ai/glm-5.3-flash,2,1,2508,2226,0.000744,USD,0,55.0,57.1,0,期待通り,
2026-09-22T01:59:12,planner,E01,auto,orcarouter/auto,z-ai/glm-5.3-flash,3,1,2509,3149,0.000976,USD,0,72.0,75.1,0,期待通り,
2026-09-22T02:00:27,planner,E01,auto,orcarouter/auto,z-ai/glm-5.2,4,1,2510,5508,0.027750,USD,0,75.0,75.1,1,期待通り,
2026-09-22T02:01:06,planner,E01,auto,orcarouter/auto,kimi/kimi-k3,5,1,2524,1433,0.029068,USD,0,36.0,39.0,0,期待通り,
2026-09-22T02:01:24,planner,E01,auto,orcarouter/auto,anthropic/claude-opus-5,6,1,4106,681,0.032216,USD,0,17.0,18.0,0,期待通り,
2026-09-22T02:01:42,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,7,1,2643,3709,0.003030,USD,0,15.0,18.0,0,期待通り,
2026-09-22T02:02:33,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-pro-0813,8,1,2724,3299,0.008330,USD,0,49.0,51.0,0,期待通り,
2026-09-22T02:02:46,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,9,1,2646,2475,0.001806,USD,0,10.0,12.0,0,期待通り,
2026-09-22T02:02:55,planner,E01,auto,orcarouter/auto,openai/gpt-5.6-terra,10,1,2186,358,0.009700,USD,0,7.0,9.0,0,期待通り,
2026-09-22T02:04:10,planner,E01,auto,orcarouter/auto,z-ai/glm-5.2,11,1,2503,4771,0.022454,USD,0,74.0,75.1,1,期待通り,
2026-09-22T02:05:34,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-pro-0813,12,1,2715,5595,0.011564,USD,0,82.0,84.1,0,期待通り,
2026-09-22T02:07:04,planner,E01,auto,orcarouter/auto,z-ai/glm-5.3-flash,13,1,2516,3945,0.001174,USD,0,89.0,90.1,0,期待通り,
2026-09-22T02:07:22,planner,E01,auto,orcarouter/auto,anthropic/claude-opus-5,14,1,4092,721,0.058936,USD,0,15.0,18.0,0,期待通り,
2026-09-22T02:08:13,planner,E01,auto,orcarouter/auto,kimi/kimi-k3,15,1,2517,1814,0.034762,USD,0,48.0,51.0,0,期待通り,
2026-09-22T02:08:20,planner,E01,auto,orcarouter/auto,openai/gpt-5.6-terra,16,1,2259,308,0.009282,USD,0,5.0,6.0,0,期待通り,
2026-09-22T02:08:35,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,17,1,2650,3263,0.002328,USD,0,14.0,15.0,0,期待通り,
2026-09-22T02:09:23,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-pro-0813,18,1,2716,3265,0.006950,USD,0,46.0,48.0,0,期待通り,
2026-09-22T02:10:41,planner,E01,auto,orcarouter/auto,kimi/kimi-k3,19,1,2528,2635,0.042270,USD,0,75.0,78.1,0,期待通り,
2026-09-22T02:12:20,planner,E01,auto,orcarouter/auto,kimi/kimi-k3,20,1,2505,3341,0.052792,USD,0,98.0,99.1,0,期待通り,
2026-09-22T02:12:29,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,21,1,2645,1867,0.001406,USD,0,8.0,9.0,0,期待通り,
2026-09-22T02:13:20,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-pro-0813,22,1,2712,3047,0.006516,USD,0,48.0,51.0,0,期待通り,
2026-09-22T02:13:32,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,23,1,2651,2161,0.001600,USD,0,9.0,12.0,0,期待通り,
2026-09-22T02:13:48,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,24,1,2660,2842,0.002052,USD,0,12.0,15.0,0,期待通り,
2026-09-22T02:14:09,planner,E01,auto,orcarouter/auto,anthropic/claude-opus-5,25,1,4092,771,0.060186,USD,0,20.0,21.0,0,期待通り,
2026-09-22T02:15:06,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-pro-0813,26,1,2717,3706,0.007824,USD,0,55.0,57.0,0,期待通り,
2026-09-22T02:15:21,planner,E01,auto,orcarouter/auto,anthropic/claude-opus-5,27,1,4102,582,0.029702,USD,0,14.0,15.0,0,期待通り,
2026-09-22T02:15:33,planner,E01,auto,orcarouter/auto,deepseek/deepseek-v4-flash-vision-exp,28,1,2643,2481,0.001810,USD,0,11.0,12.0,0,期待通り,
2026-09-22T02:16:06,planner,E01,auto,orcarouter/auto,kimi/kimi-k3,29,1,2512,1241,0.021312,USD,0,31.0,33.1,0,期待通り,
2026-09-22T02:17:00,planner,E01,auto,orcarouter/auto,kimi/kimi-k3,30,1,2524,2069,0.033768,USD,0,51.0,54.1,0,期待通り,
2026-09-22T02:17:25,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,1,1,1980,2567,0.007012,USD,0,16.0,18.0,0,期待通り,
2026-09-22T02:17:47,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,2,1,1974,3284,0.008802,USD,0,19.0,21.0,0,期待通り,
2026-09-22T02:18:02,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,3,1,1970,2101,0.005844,USD,0,13.0,15.0,0,期待通り,
2026-09-22T02:18:14,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,4,1,1970,1558,0.004486,USD,0,9.0,12.0,0,安全停止,reason=no_feasible_plan
2026-09-22T02:18:29,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,5,1,1976,2135,0.005930,USD,0,13.0,15.0,0,期待通り,
2026-09-22T02:18:47,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,6,1,1972,2626,0.007156,USD,0,16.0,18.0,0,期待通り,
2026-09-22T02:19:05,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,7,1,1964,2867,0.007756,USD,0,17.0,18.0,0,期待通り,
2026-09-22T02:19:17,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,8,1,1972,1737,0.004934,USD,0,10.0,12.0,0,期待通り,
2026-09-22T02:19:35,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,9,1,1965,2505,0.006852,USD,0,15.0,18.0,0,期待通り,
2026-09-22T02:19:54,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,10,1,1970,2503,0.006848,USD,0,15.0,18.0,0,期待通り,
2026-09-22T02:20:12,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,11,1,1959,2673,0.007066,USD,0,16.0,18.0,0,期待通り,
2026-09-22T02:20:33,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,12,1,1965,3037,0.008182,USD,0,18.0,21.0,0,期待通り,
2026-09-22T02:20:54,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,13,1,1971,3366,0.009006,USD,0,21.0,21.0,0,期待通り,
2026-09-22T02:21:09,planner,E01,gemini-2.5-flash,google/gemini-2.5-flash,google/gemini-2.5-flash,14,1,1970,1988,0.005560,USD,0,13.0,15.0,0,期待通り,
